nodes,threads,N,time
1,2,1024,0.000624218
1,2,1024,0.000500981
1,2,1024,0.000554537
1,2,1024,0.000601753
1,2,1024,0.00073151
1,2,1024,0.000544352
1,2,1024,0.000562085
1,2,1024,0.000511383
1,2,1024,0.000525427
1,2,1024,0.000540286
1,2,1024,0.0005219
1,2,1024,0.000530277
1,2,1024,0.000598773
1,2,1024,0.000509178
1,2,1024,0.000512052
1,2,1024,0.000577786
1,2,1024,0.0005029
1,2,1024,0.000549927
1,2,1024,0.000811374
1,2,1024,0.000534467
1,4,1024,0.000669558
1,4,1024,0.000663559
1,4,1024,0.000818832
1,4,1024,0.000904648
1,4,1024,0.000784484
1,4,1024,0.000955504
1,4,1024,0.000887318
1,4,1024,0.000781499
1,4,1024,0.000853825
1,4,1024,0.000918844
1,4,1024,0.000709628
1,4,1024,0.000841749
1,4,1024,0.000668465
1,4,1024,0.000691813
1,4,1024,0.000673363
1,4,1024,0.000726001
1,4,1024,0.000674498
1,4,1024,0.000672927
1,4,1024,0.000739806
1,4,1024,0.000998914
2,4,1024,0.000884543
2,4,1024,0.000704139
2,4,1024,0.000731345
2,4,1024,0.000904224
2,4,1024,0.000837241
2,4,1024,0.000719095
2,4,1024,0.000735566
2,4,1024,0.000816693
2,4,1024,0.000696486
2,4,1024,0.000692997
2,4,1024,0.000838139
2,4,1024,0.000727727
2,4,1024,0.000861854
2,4,1024,0.000682031
2,4,1024,0.000698036
2,4,1024,0.000791298
2,4,1024,0.000774846
2,4,1024,0.000809882
2,4,1024,0.00100794
2,4,1024,0.000726707
4,4,1024,0.115357
4,4,1024,0.125427
4,4,1024,0.118202
4,4,1024,0.135982
4,4,1024,0.109348
4,4,1024,0.144321
4,4,1024,0.11693
4,4,1024,0.130878
4,4,1024,0.115735
4,4,1024,0.114367
4,4,1024,0.14054
4,4,1024,0.112007
4,4,1024,0.106295
4,4,1024,0.116922
4,4,1024,0.122544
4,4,1024,0.110654
4,4,1024,0.118831
4,4,1024,0.11772
4,4,1024,0.13539
4,4,1024,0.138633
7,4,1024,0.134682
7,4,1024,0.179043
7,4,1024,0.13176
7,4,1024,0.13151
7,4,1024,0.167061
7,4,1024,1.2664
7,4,1024,0.151119
7,4,1024,0.199345
7,4,1024,0.303075
7,4,1024,0.146031
7,4,1024,0.342638
7,4,1024,0.148614
7,4,1024,0.332799
7,4,1024,0.127792
7,4,1024,0.338152
7,4,1024,0.174742
7,4,1024,0.13233
7,4,1024,0.130081
7,4,1024,0.142513
7,4,1024,0.148757
1,2,2048,0.00161676
1,2,2048,0.00158596
1,2,2048,0.00161492
1,2,2048,0.00146621
1,2,2048,0.00169357
1,2,2048,0.00180261
1,2,2048,0.00203829
1,2,2048,0.00152978
1,2,2048,0.00147023
1,2,2048,0.0018731
1,2,2048,0.001804
1,2,2048,0.00167509
1,2,2048,0.00186513
1,2,2048,0.00156192
1,2,2048,0.0014621
1,2,2048,0.00141874
1,2,2048,0.00143358
1,2,2048,0.00147443
1,2,2048,0.00195304
1,2,2048,0.00151557
