n,c,time
6720,5,2449.84
6720,5,2237.51
6720,5,2290.69
6720,5,2281.11
6720,5,2257.15
6720,6,2006.47
6720,6,2095.87
6720,6,2105.08
6720,6,2030.63
6720,6,2184.81
6720,7,1844.99
6720,7,1892.82
6720,7,1876.05
6720,7,1877.73
6720,7,1936.65
6720,10,1521.4
6720,10,1522.24
6720,10,1524.05
6720,10,1522.14
6720,10,1644.09
6720,12,1383.6
6720,12,1409.82
6720,14,1202.22
6720,14,1261.92
6720,14,1306.63
6720,20,1019.95
6720,20,1069.22
6720,20,781.472
6720,20,750.037
6720,20,715.713
6720,20,707.768
6720,20,712.475
6720,24,690.557
6720,24,648.814
6720,24,675.91
6720,24,667.102
6720,24,686.147
6720,28,638.621
6720,28,641.824
6720,28,636.275
6720,28,639.642
6720,28,654.318
